LSRNumber,LSRTitle,BillNumber,BillAnalysis,BillURL,PrimeSponsor,Sponsors,pubDate
21-0331,relative to reporting a collision between a cat and a motor vehicle.,HB 178-FN,This bill amends various provisions of the adult parole process including the definition of violent crime and recommittal of prisoners who violate parole.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=331&txtFormat=html,Daryl Abbas,"John Janigian, Anita Burroughs, Cam Kenney",1/5/2021
21-0332,relative to driving with a suspended license.,,,,Daryl Abbas,,1/5/2021
21-0333,establishing a credit under RSA 77 for tax paid on income subject to taxation in another state.,HB 147-FN,This bill creates a first degree assault offense for an assault against a person 65 years of age or older by a person who is more than 10 years of age older than the victim.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=333&txtFormat=html,Daryl Abbas,"Fred Doucette, John Janigian, Alan Bershtein",12/21/2020
21-0334,relative to offering vocational training as part of the drug court and alternative drug offender grant program.,HB 179-FN,This bill establishes an enhanced penalty for persons convicted of negligent homicide who have prior convictions for driving under the influence of drugs or liquor.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=334&txtFormat=html,James Spillane,"John Reagan, Kevin Avard, Kevin Verville, Alan Bershtein, Terry Roy, Daryl Abbas",1/5/2021
21-0335,relative to the administration of certain state taxes by the department of revenue administration.  ,HB 420-FN,"This bill amends the administration and distribution of funds in the drug forfeiture fund and permits such funds to be used for the establishment of substance misuse addiction, recovery, or rehabilitation centers, programs, or services.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=335&txtFormat=html,Norman Major,"Susan Almy, Richard Ames",12/22/2020
21-0336,relative to the use of funds in the drug forfeiture fund.,HB 324-FN,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=336&txtFormat=html,James Spillane,"John Reagan, John Burt, Kevin Verville",1/4/2021
21-0337,relative to enhanced penalties based on prior convictions for driving under the influence of drugs or liquor.,HB 569,This bill authorizes a drug court to order a drug offender to a complete a program offering career-focused vocational or technical education courses.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=337&txtFormat=html,Daryl Abbas,,1/4/2021
21-0338,relative to assault against an elderly person.,HB 212,This bill allows a drug court to order an offender to participate in social work or mental health consultations as a condition of sentence completion.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=338&txtFormat=html,Daryl Abbas,David Love,1/4/2021
21-0340,relative to the parole of prisoners and the procedures of the adult parole board.,HB 181,This bill allows a vote for accepting operation of sports book retail locations by a city at the state primary election.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=340&txtFormat=html,Daryl Abbas,Gary Daniels,1/4/2021
21-0344,allowing increased net energy metering limits for municipal hydroelectric facilities.,HB 334,This bill creates an exception to the prohibition on carrying a loaded firearm on an OHRV or snowmobile for any person carrying a pistol or revolver who is not prohibited from possessing a firearm by a New Hampshire statute.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=344&txtFormat=html,Michael O'Brien,"Suzanne Vail, Mark King, Skip Cleaver, Bruce Cohen, Laura Telerski",1/4/2021
21-0345,relative to the local option for operation of sports book retail locations.,HB 361,This bill authorizes the New Hampshire office of veterans services to issue free of charge gold star family decals for motor vehicles owned by certain family members of persons killed while on duty in United States armed services.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=345&txtFormat=html,Michael O'Brien,"David Cote, Laura Telerski, Cindy Rosenwald",1/5/2021
21-0346,establishing a committee to study the expiration and updating of  administrative rules.,HB 192,This bill adds additional pistols permitted for the taking of deer.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=346&txtFormat=html,James Spillane,"Kenneth Weyler, Carol McGuire, John Burt, Hershel Nunez, Alan Bershtein, Terry Roy",1/4/2021
21-0347,relative to drug courts and alternative drug offender grant programs. ,,,,James Spillane,"John Reagan, Kevin Avard, Alan Bershtein, Terry Roy",1/5/2021
21-0348,relative to the taking of game by certain lever-action firearms.,HB 322,"This bill requires a color photo of a dog, cat, or ferret to be attached to its rabies vaccination certificate.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=348&txtFormat=html,James Spillane,"Howard Pearl, Kevin Verville, David Love, Terry Roy",1/5/2021
21-0350,"requiring a color photo of a dog, cat, or ferret on a rabies vaccination certificate.",HB 342,This bill allows the taking of game with certain lever-action firearms.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=350&txtFormat=html,Dave Testerman,,1/4/2021
21-0352,relative to pistols permitted for the taking of deer.,,,,John MacDonald,"Karen Umberger, Karel Crawford, Lino Avellani, Brodie Deshaies",1/5/2021
21-0353,relative to gold star family decals for motor vehicles.,HB 197,"This bill permits the use of deadly force against another person in circumstance where deadly force is used in the commission of felony against a person in a vehicle or in the commission of riot against a person within such person's vehicle, dwelling or its curtilege.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=353&txtFormat=html,John Graham,,1/5/2021
21-0354,relative to prohibitions on carrying a loaded firearm on an OHRV or snowmobile.,HB 196,This bill adds an exception to the criminal threatening statute for a person who displays a firearm to warn away a trespasser.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=354&txtFormat=html,John Burt,"Gary Daniels, Norman Silber, Bob Giuda, Hershel Nunez, Terry Roy, Jennifer Rhodes, Jim Kofalt, Ted Gorski, Niki Kelsey",1/5/2021
21-0355,"relating to the governor.  Providing that there be a lieutenant governor who shall assume the duties of the governor if the governor is incapacitated.
",HB 195,This bill inserts an exception to the crime of reckless conduct for the display of a firearm.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=355&txtFormat=html,Michael Moffett,"Timothy Lang, Howard Pearl",1/5/2021
21-0356,requiring students in the university and community college systems of New Hampshire to pass the United States Citizenship and Immigration Services civics naturalization test.,HB 216,This bill establishes requirements for remote access to public meetings under RSA 91-A.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=356&txtFormat=html,Michael Moffett,"Barbara Shaw, Claire Rouillard, Timothy Lang, Howard Pearl, Bob Giuda, Deborah Hobson",1/5/2021
21-0357,requiring a civics competency assessment as a high school graduation requirement.,,,,Michael Moffett,"Barbara Shaw, Claire Rouillard, Timothy Lang, Howard Pearl, Deborah Hobson",1/5/2021
21-0358,requiring school districts to submit an annual report concerning gifted students.,HB 321,This bill requires all public schools to submit annual reports to the department of education detailing the policies and procedures that are in place to identify and accommodate the needs of gifted students.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=358&txtFormat=html,Michael Moffett,"Lou D'Allesandro, Barbara Shaw, Joseph Pitre, Timothy Lang, Howard Pearl, Bob Giuda, Deborah Hobson",1/4/2021
21-0360,relative to public notice of and access to meetings under the right to know law.,HB 319,"This bill requires university system and community college system students, as a requirement for graduation, to pass the 2020 version of the United States Citizenship and Immigration Services naturalization test.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=360&txtFormat=html,Lucy Weber,"Mary Beth Walz, Marjorie Porter",1/4/2021
21-0361,adding display of a firearm as an exception to reckless conduct.,CACR 7,,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=361&txtFormat=html,Michael Yakubovich,"Debra DeSimone, Tony Lekas, Terry Roy, Judy Aron, Jennifer Rhodes",1/4/2021
21-0362,adding trespass as an exception to the charge of criminal threatening.,HB 305,This bill deletes a limitation on the placement of motorist service signs on limited access highways.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=362&txtFormat=html,Michael Yakubovich,"Debra DeSimone, David Binford, Tony Lekas, Tony Piemonte, Terry Roy, Judy Aron, Jennifer Rhodes",1/4/2021
21-0363,relative to the use of deadly force in defense of another.,,,,Michael Yakubovich,"Max Abramson, David Binford, Tony Lekas, Tony Piemonte, Judy Aron, Jennifer Rhodes, Aidan Ankarberg",1/5/2021
21-0365,requiring a public employer to provide notice of a new or amended collective bargaining agreement.,HB 341,This bill requires that local legislative bodies permit by right certain single-family dwellings in residential districts to be used for up to four residential units.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=365&txtFormat=html,Leonard Turcotte,"Glenn Cordelli, Kevin Avard, Michael Moffett",1/4/2021
21-0366,"proclaiming January 24 as ""Granny D"" day.",HB 189,This bill allows as a right the addition of up to 3 accessory dwelling units on a single-family dwelling.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=366&txtFormat=html,Ivy Vann,"Timothy Horrigan, Janice Schmidt, Timothy Smith, Suzanne Vail, Debra Altschiller, Joe Schapiro, Peter Petrigno, Cassandra  Levesque",1/5/2021
21-0368,permitting the designation of an open container area for the consumption of alcoholic beverages.,,,,Ivy Vann,Casey Conley,1/4/2021
21-0369,relative to accessory dwelling units.,HB 204,This bill proclaims January 24 as Granny D. Day.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=369&txtFormat=html,Ivy Vann,"Casey Conley, Tony Caplan",1/5/2021
21-0370,relative to permissible residential units in a residential zone.,,,,Ivy Vann,"Casey Conley, Rebecca McWilliams, Tony Caplan",12/4/2020
21-0372,decreasing the fee to file a petition for a declaratory ruling with the site evaluation committee.,HB 205-FN,This bill amends the amount of time that must be served by a person incarcerated under a suspended sentence before petitioning for the suspension of the remainder of the sentence.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=372&txtFormat=html,Michael Vose,"Douglas Thomas, Bob Giuda, Ruth Ward",1/5/2021
21-0373,relative to motorist service signs on limited access highways.,HB 318,This bill proclaims the daring jumping spider to be the state spider of New Hampshire.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=373&txtFormat=html,Timothy Horrigan,,1/4/2021
21-0374,including soil health and soil conservation in the state soil conservation plan.,HB 199,This bill amends current provisions relative to soil conservation to include soil health and climate and environmental change mitigation and adaptation.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=374&txtFormat=html,Peter Bixby,,1/5/2021
21-0375,proclaiming the daring jumping spider to be the state spider of New Hampshire.,HB 532-FN,This bill:,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=375&txtFormat=html,Kat McGhee,,1/4/2021
21-0376,relative to incarceration under a suspended sentence.,HB 201,"This bill requires the commissioner of insurance to review the implementation of the requirement for coverage of pediatric autoimmune neuropsychiatric disorders as adopted by 2019, 277 (SB 244-FN) and to report to the legislature.",http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=376&txtFormat=html,Joe Schapiro,"John Bordenet, David Welch, Jay Kahn, Daryl Abbas",1/4/2021
21-0379,relative to school lunch payment policies.,HB 210-FN,This bill increases exemption amounts under the interest and dividends tax and decreases the annual total aggregate amount of the research and development tax credit against business taxes.,http://gencourt.state.nh.us/bill_Status/billText.aspx?sy=2021&id=379&txtFormat=html,Timothy Horrigan,"Barbara Shaw, Mel Myler, David Luneau, Sue Mullen",12/29/2020
